Domain	Phylum	Class	Order	Family	Genus	Species	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
75908f63babbaa7bb89671467bbdb6ff	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	71426	48280	105814	73	7155	125987	60	26682	52075	61499	4134	63912	74102	14017
096f9d81ad0717c25bd7572a015ed9b2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae_486827	Sphingomonas_L_486704	Unassigned	655	140	1955	0	661	4332	0	5727	50	107	2521	124	2403	563
f83acfdc933382307df1c799938f587f	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	1939	1293	2175	0	137	2172	0	1051	1127	1891	141	1725	1735	383
d2a18db77384b9e8fd15c4c4ec07c527	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Rhizobiaceae	Ensifer_A_499891	Ensifer_A_499891 adhaerens	11	1322	0	0	2580	49	0	0	0	0	0	52	0	0
1579455b2403a4097e95d81cfa4f3b25	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Unassigned	Unassigned	44	623	59	0	2021	876	0	0	0	0	0	41	142	0
39ca9bad17e45a57dcb2085ce9c0b063	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	3710	0
aa06a2b7ca8285c044ebc8aaec736527	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	412	0	1008	0	0	371	0	305	0	544	0	0	785	0
b85f438f8cfd1a0f98730246d14554e8	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unassigned	103	2126	0	0	198	74	0	357	0	0	0	55	40	0
2df7c6b4653458a260719430343a705c	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Dermatophilaceae	Flexivirga	Flexivirga alba	68	0	181	0	2399	0	0	0	0	0	0	0	0	0
8de0b48402e2f95456aa0853b7b50994	Bacteria	Pseudomonadota	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	67	1055	0	0	70	609	0	529	0	51	0	22	52	0
aa3bf8170f4058f75ec3426d4a4638a9	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Unassigned	Unassigned	100	1608	0	0	300	316	0	0	0	0	0	0	75	0
204d0cd226f870091fe71e122348600a	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Unassigned	Unassigned	102	0	298	0	0	1035	0	299	26	14	334	9	194	44
e48f9f9056fc1c72be4f3b67b103c3a3	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella_C_415415	Granulicella_C_415415 sapmiensis	0	0	0	0	0	2286	0	0	0	0	0	0	0	0
b214c80a4653e3da3b407d9e906e494f	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae_486827	Unassigned	Unassigned	106	1099	0	0	242	175	0	0	0	216	0	31	0	0
8f6e30ad1c334cff90b85f3546463683	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	361	232	0	0	0	0	0	0	280	380	0	301	0	125
63b33ac1ee0cd1bcb7221efd6113cd3c	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Rhizobiaceae	Rhizobium_C_501058	Unassigned	0	776	0	0	29	0	0	664	15	0	0	13	97	0
b535c0ca5d2bb007e77e54def5384044	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nakamurellaceae	Nakamurella	Nakamurella panacisegetis	24	112	0	0	1255	0	0	0	0	0	0	31	144	0
bc8f07677d96ef99ba13b64a79de608b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	1386	0	0	0	0	0	0
4364e13b6e17e970b8f3164327fbee16	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Devosiaceae	Devosia_A_502124	Devosia_A_502124 epidermidihirudinis	52	0	0	0	936	376	0	0	0	0	0	17	0	0
3938192ec5a33ef666c5f284a7b349bf	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Unassigned	58	0	0	0	0	749	0	371	0	8	0	0	166	0
fddfb0d4a3572f1eec6c26914eca35fe	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Unassigned	Unassigned	98	1183	0	0	42	0	0	0	0	0	0	0	0	0
f9a0496abdc78b7b746629cf75501af5	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	301	487	0	0	40	143	0	0	0	0	0	0	256	0
45aadcbb797df4ecb5521d73df223752	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Unassigned	Unassigned	64	20	0	0	1038	75	0	0	0	0	0	0	0	0
bb1fb8732b095f89379cad165a014552	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Unassigned	54	169	0	0	907	0	0	0	0	0	0	0	37	0
54ad07be09fd4b06545dab68e85929f3	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Anaerotardibacter	Anaerotardibacter sp000435475	0	0	0	0	0	546	0	597	0	0	0	0	0	0
071e89f5d488f8cbd73acad27a4d9716	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	1102	0
92e61b559b91f7168c515bd5893f69d4	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	1022	0	0	0	0	0	0	0	0
f3a972fd61edb65060aa69e6cd92e782	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unassigned	Unassigned	0	53	0	0	0	0	406	418	0	0	0	12	0	99
450a62ba1f80f35f375cfce437fdecb2	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	268	0	0	0	0	651	0	0	0	0	0	0	0	0
f72d8a533d8b70cb75be240035d8f67a	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	919	0	0	0	0
f433095fc8fd407d75d1ce36d122abaa	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	455	0	443	0	0	0	0	0	0
9c904302de3b94d72359e101aefe1026	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	891	0
