Taxon	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
75908f63babbaa7bb89671467bbdb6ff	d__Bacteria	71426	48280	105814	73	7155	125987	60	26682	52075	61499	4134	63912	74102	14017
096f9d81ad0717c25bd7572a015ed9b2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704	655	140	1955	0	661	4332	0	5727	50	107	2521	124	2403	563
f83acfdc933382307df1c799938f587f	d__Bacteria	1939	1293	2175	0	137	2172	0	1051	1127	1891	141	1725	1735	383
d2a18db77384b9e8fd15c4c4ec07c527	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae; g__Ensifer_A_499891; s__Ensifer_A_499891 adhaerens	11	1322	0	0	2580	49	0	0	0	0	0	52	0	0
1579455b2403a4097e95d81cfa4f3b25	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	44	623	59	0	2021	876	0	0	0	0	0	41	142	0
39ca9bad17e45a57dcb2085ce9c0b063	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Thiotrichales_608018; f__Thiotrichaceae_608018; g__Thiofilum; s__	0	0	0	0	0	0	0	0	0	0	0	0	3710	0
aa06a2b7ca8285c044ebc8aaec736527	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	412	0	1008	0	0	371	0	305	0	544	0	0	785	0
b85f438f8cfd1a0f98730246d14554e8	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium	103	2126	0	0	198	74	0	357	0	0	0	55	40	0
2df7c6b4653458a260719430343a705c	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Dermatophilaceae; g__Flexivirga; s__Flexivirga alba	68	0	181	0	2399	0	0	0	0	0	0	0	0	0
8de0b48402e2f95456aa0853b7b50994	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	67	1055	0	0	70	609	0	529	0	51	0	22	52	0
aa3bf8170f4058f75ec3426d4a4638a9	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	100	1608	0	0	300	316	0	0	0	0	0	0	75	0
204d0cd226f870091fe71e122348600a	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Propionibacteriaceae	102	0	298	0	0	1035	0	299	26	14	334	9	194	44
e48f9f9056fc1c72be4f3b67b103c3a3	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Granulicella_C_415415; s__Granulicella_C_415415 sapmiensis	0	0	0	0	0	2286	0	0	0	0	0	0	0	0
b214c80a4653e3da3b407d9e906e494f	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827	106	1099	0	0	242	175	0	0	0	216	0	31	0	0
8f6e30ad1c334cff90b85f3546463683	d__Bacteria	361	232	0	0	0	0	0	0	280	380	0	301	0	125
63b33ac1ee0cd1bcb7221efd6113cd3c	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae; g__Rhizobium_C_501058	0	776	0	0	29	0	0	664	15	0	0	13	97	0
b535c0ca5d2bb007e77e54def5384044	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Nakamurellaceae; g__Nakamurella; s__Nakamurella panacisegetis	24	112	0	0	1255	0	0	0	0	0	0	31	144	0
bc8f07677d96ef99ba13b64a79de608b	Unassigned	0	0	0	0	0	0	0	1386	0	0	0	0	0	0
4364e13b6e17e970b8f3164327fbee16	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Devosiaceae; g__Devosia_A_502124; s__Devosia_A_502124 epidermidihirudinis	52	0	0	0	936	376	0	0	0	0	0	17	0	0
3938192ec5a33ef666c5f284a7b349bf	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus	58	0	0	0	0	749	0	371	0	8	0	0	166	0
fddfb0d4a3572f1eec6c26914eca35fe	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	98	1183	0	0	42	0	0	0	0	0	0	0	0	0
f9a0496abdc78b7b746629cf75501af5	d__Bacteria	301	487	0	0	40	143	0	0	0	0	0	0	256	0
45aadcbb797df4ecb5521d73df223752	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	64	20	0	0	1038	75	0	0	0	0	0	0	0	0
bb1fb8732b095f89379cad165a014552	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Nocardioidaceae; g__Aeromicrobium	54	169	0	0	907	0	0	0	0	0	0	0	37	0
54ad07be09fd4b06545dab68e85929f3	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Anaerotardibacter; s__Anaerotardibacter sp000435475	0	0	0	0	0	546	0	597	0	0	0	0	0	0
071e89f5d488f8cbd73acad27a4d9716	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Thiotrichales_608018; f__Thiotrichaceae_608018; g__Thiofilum; s__	0	0	0	0	0	0	0	0	0	0	0	0	1102	0
92e61b559b91f7168c515bd5893f69d4	d__Bacteria	0	0	0	0	0	1022	0	0	0	0	0	0	0	0
f3a972fd61edb65060aa69e6cd92e782	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae	0	53	0	0	0	0	406	418	0	0	0	12	0	99
450a62ba1f80f35f375cfce437fdecb2	d__Bacteria	268	0	0	0	0	651	0	0	0	0	0	0	0	0
f72d8a533d8b70cb75be240035d8f67a	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptosporangiales; f__Streptosporangiaceae	0	0	0	0	0	0	0	0	0	919	0	0	0	0
f433095fc8fd407d75d1ce36d122abaa	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	455	0	443	0	0	0	0	0	0
